Time,Channel A,Channel B
(ms),(V),(V)

0.00000000,0.29200110,0.27359843
0.04096000,0.29200110,0.28266242
0.08192000,0.29200110,0.28266242
0.12288000,0.29200110,0.29172644
0.16384000,0.27378154,0.27359843
0.20480000,0.27378154,0.26450393
0.24576000,0.27378154,0.27359843
0.28672000,0.27378154,0.27359843
0.32768000,0.28287607,0.28266242
0.36864000,0.28287607,0.28266242
0.40960000,0.29200110,0.30082095
0.45056000,0.28287607,0.28266242
0.49152000,0.27378154,0.27359843
0.53248000,0.26468703,0.26450393
0.57344000,0.26468703,0.26450393
0.61440000,0.27378154,0.28266242
0.65536000,0.28287607,0.29172644
0.69632000,0.28287607,0.30082095
0.73728000,0.28287607,0.29172644
0.77824000,0.28287607,0.29172644
0.81920000,0.28287607,0.28266242
0.86015999,0.27378154,0.27359843
0.90111999,0.27378154,0.26450393
0.94207999,0.26468703,0.26450393
0.98303999,0.28287607,0.27359843
1.02399999,0.29200110,0.28266242
1.06495999,0.29200110,0.28266242
1.10591999,0.29200110,0.29172644
1.14687999,0.28287607,0.30082095
1.18783999,0.28287607,0.30082095
1.22879999,0.29200110,0.30082095
1.26975999,0.29200110,0.30082095
1.31071999,0.31928465,0.29172644
1.35167999,0.31928465,0.28266242
1.39263999,0.31019014,0.27359843
1.43359999,0.32837915,0.27359843
1.47455999,0.32837915,0.27359843
1.51551999,0.32837915,0.27359843
1.55647999,0.31928465,0.27359843
1.59743999,0.34659871,0.27359843
1.63839999,0.31019014,0.27359843
1.67935999,0.30109560,0.27359843
1.72031999,0.28287607,0.27359843
1.76127999,0.27378154,0.26450393
1.80223999,0.31019014,0.26450393
1.84319999,0.31928465,0.26450393
1.88415999,0.31019014,0.27359843
1.92511999,0.31019014,0.27359843
1.96607999,0.31928465,0.27359843
2.00703999,0.31928465,0.27359843
2.04799999,0.31928465,0.27359843
2.08895999,0.31928465,0.27359843
2.12991999,0.31928465,0.27359843
2.17087999,0.29200110,0.28266242
2.21183999,0.29200110,0.28266242
2.25279999,0.28287607,0.29172644
2.29375999,0.28287607,0.28266242
2.33471999,0.27378154,0.27359843
2.37567999,0.27378154,0.28266242
2.41663999,0.27378154,0.29172644
2.45759999,0.27378154,0.28266242
2.49855998,0.27378154,0.27359843
2.53951998,0.26468703,0.26450393
2.58047998,0.25559253,0.25543994
2.62143998,0.26468703,0.26450393
2.66239998,0.25559253,0.26450393
2.70335998,0.25559253,0.25543994
2.74431998,0.25559253,0.25543994
2.78527998,0.25559253,0.25543994
2.82623998,0.25559253,0.25543994
2.86719998,0.25559253,0.25543994
2.90815998,0.25559253,0.25543994
2.94911998,0.25559253,0.25543994
2.99007998,0.25559253,0.25543994
3.03103998,0.26468703,0.27359843
3.07199998,0.28287607,0.28266242
3.11295998,0.29200110,0.28266242
3.15391998,0.29200110,0.28266242
3.19487998,0.30109560,0.27359843
3.23583998,0.30109560,0.28266242
3.27679998,0.30109560,0.28266242
3.31775998,0.29200110,0.28266242
3.35871998,0.31019014,0.29172644
3.39967998,0.31928465,0.29172644
3.44063998,0.31019014,0.28266242
3.48159998,0.29200110,0.28266242
3.52255998,0.31928465,0.27359843
3.56351998,0.31019014,0.27359843
3.60447998,0.30109560,0.27359843
3.64543998,0.30109560,0.27359843
3.68639998,0.31019014,0.27359843
3.72735998,0.32837915,0.27359843
3.76831998,0.31928465,0.27359843
3.80927998,0.31019014,0.27359843
3.85023998,0.31928465,0.27359843
3.89119998,0.32837915,0.27359843
3.93215998,0.31019014,0.27359843
3.97311998,0.31928465,0.28266242
4.01407998,0.31019014,0.28266242
4.05503998,0.29200110,0.28266242
4.09599998,0.29200110,0.28266242
4.13695997,0.31019014,0.28266242
4.17791997,0.31019014,0.28266242
4.21887997,0.31019014,0.27359843
4.25983997,0.31019014,0.28266242
4.30079997,0.30109560,0.29172644
4.34175997,0.30109560,0.30082095
4.38271997,0.28287607,0.29172644
4.42367997,0.28287607,0.29172644
4.46463997,0.28287607,0.30082095
4.50559997,0.29200110,0.30082095
4.54655997,0.29200110,0.29172644
4.58751997,0.29200110,0.28266242
4.62847997,0.29200110,0.29172644
4.66943997,0.29200110,0.30082095
4.71039997,0.27378154,0.28266242
4.75135997,0.28287607,0.28266242
4.79231997,0.28287607,0.28266242
4.83327997,0.28287607,0.29172644
4.87423997,0.28287607,0.30082095
4.91519997,0.28287607,0.29172644
4.95615997,0.27378154,0.29172644
4.99711997,0.27378154,0.28266242
5.03807997,0.27378154,0.27359843
5.07903997,0.27378154,0.27359843
5.11999997,0.26468703,0.26450393
